Month,Year,Plot,Replicate,biomass_g,Notes
November,2016,CS,C1,0.01,
November,2016,CS,C2,2.4,
November,2016,CS,C3,0,
November,2016,CS,T3,0.37,
November,2016,CS,T1,0,
November,2016,CS,T2,0,
November,2016,CS,U1,2.24,
November,2016,CS,U2,0.67,
November,2016,CS,U3,0,
November,2016,MS,C1,1.23,
November,2016,MS,C2,0.61,
November,2016,MS,C3,0.1,
November,2016,MS,T1,0.47,
November,2016,MS,T2,1.814,
November,2016,MS,T3,1.84,
November,2016,MS,U1,0.18,
November,2016,MS,U2,0,
November,2016,MS,U3,0,
November,2016,P1,C1,0,
November,2016,P1,C2,0.1,
November,2016,P1,C3,0.96,
November,2016,P1,T1,1.34,
November,2016,P1,T2,0.24,
November,2016,P1,T3,2.03,
November,2016,P1,U1,7.93,
November,2016,P1,U2,15.52,
November,2016,P1,U3,0.01,
November,2016,RT,C1,0,
November,2016,RT,C2,0,
November,2016,RT,C3,0,
November,2016,RT,U1,0,
November,2016,RT,U2,0,
November,2016,RT,U3,0,
November,2016,RT,T3,0,
November,2016,RT,T1,0,
November,2016,RT,T2,0.25,
November,2016,TP,T1,0.73,
November,2016,TP,T2,0.15,
November,2016,TP,U1,0,
November,2016,TP,U2,0,
November,2016,TP,U3,0,
November,2016,TP,C1,0,
November,2016,TP,C2,0,
November,2016,TP,C3,0,
November,2016,TP,T3,0.03,
November,2016,WT1,T2,0.55,
November,2016,WT1,U1,0,
November,2016,WT1,U2,1.61,
November,2016,WT1,U3,0,
November,2016,WT1,T1,0,
November,2016,WT1,T3,0,
November,2016,WT1,C1,0,
November,2016,WT1,C2,0,
November,2016,WT1,C3,0,
November,2016,WT2,T1,1.42,
November,2016,WT2,U1,1.3,
November,2016,WT2,U2,1.51,
November,2016,WT2,U3,1.35,
November,2016,WT2,T2,0,
November,2016,WT2,T3,0,
November,2016,WT2,C1,0,
November,2016,WT2,C2,0,
November,2016,WT2,C3,0,
December,2016,CS,C1,0.789,
December,2016,CS,C2,0.015,
December,2016,CS,C3,0,
December,2016,CS,T1,0.097,
December,2016,CS,T2,0,
December,2016,CS,T3,0,
December,2016,CS,U1,0.046,
December,2016,CS,U2,3.32,
December,2016,CS,U3,0,
December,2016,MS,T1,0.123,
December,2016,MS,T2,0.914,
December,2016,MS,T3,0,
December,2016,MS,U1,0.543,
December,2016,MS,U2,0.888,
December,2016,MS,U3,0,
December,2016,MS,C1,0,
December,2016,MS,C2,0,
December,2016,MS,C3,0,
December,2016,P1,C1,0.013,
December,2016,P1,C2,0.054,
December,2016,P1,C3,0.008,
December,2016,P1,T1,0,
December,2016,P1,T2,0.186,
December,2016,P1,T3,0.008,
December,2016,P1,U1,0.543,
December,2016,P1,U2,0.026,
December,2016,P1,U3,0,
December,2016,RT,C1,0,
December,2016,RT,C2,0,
December,2016,RT,C3,0,
December,2016,RT,T1,0,
December,2016,RT,T2,0,
December,2016,RT,T3,0,
December,2016,RT,U1,0,
December,2016,RT,U2,0,
December,2016,RT,U3,0,
December,2016,TP,T3,0,
December,2016,TP,T1,0,
December,2016,TP,T2,0.084,
December,2016,TP,U1,0.628,
December,2016,TP,U2,0,
December,2016,TP,U3,0,
December,2016,TP,C1,0,
December,2016,TP,C2,0,
December,2016,TP,C3,0,
December,2016,WT1,C1,0.126,
December,2016,WT1,C2,0,
December,2016,WT1,C3,0,
December,2016,WT1,T1,0.499,
December,2016,WT1,T2,0,
December,2016,WT1,T3,0.518,
December,2016,WT1,U1,0,
December,2016,WT1,U2,0.25,
December,2016,WT1,U3,0.535,
December,2016,WT2,T1,0.335,
December,2016,WT2,T2,0,
December,2016,WT2,T3,0,
December,2016,WT2,U1,0,
December,2016,WT2,U2,0.312,
December,2016,WT2,U3,0,
December,2016,WT2,C1,0,
December,2016,WT2,C2,0,
December,2016,WT2,C3,0,
January,2017,CS,U1,1.312,
January,2017,CS,U2,2.63,
January,2017,CS,U3,0.106,
January,2017,CS,T1,0,
January,2017,CS,T2,0,
January,2017,CS,T3,0,
January,2017,CS,C1,0,
January,2017,CS,C2,0,
January,2017,CS,C3,0,
January,2017,MS,U1,0,
January,2017,MS,U2,0.567,
January,2017,MS,U3,0,
January,2017,MS,T1,0,
January,2017,MS,T2,0.205,
January,2017,MS,T3,0,
January,2017,MS,C1,0,
January,2017,MS,C2,0,
January,2017,MS,C3,0,
January,2017,PH1,U1,15.555,
January,2017,PH1,U2,0.647,
January,2017,PH1,U3,14.29,
January,2017,PH1,C1,0,
January,2017,PH1,C2,0,
January,2017,PH1,C3,0,
January,2017,PH1,T1,0.994,
January,2017,PH1,T2,0,
January,2017,PH1,T3,0,
January,2017,RT,T1,57.681,
January,2017,RT,U1,10.38,
January,2017,RT,T2,1.277,
January,2017,RT,U2,27.243,
January,2017,RT,U3,1.678,
January,2017,RT,T3,0,
January,2017,RT,C1,0,
January,2017,RT,C2,0,
January,2017,RT,C3,0,
January,2017,TP,U1,10.825,
January,2017,TP,U2,12.635,
January,2017,TP,U3,0,
January,2017,TP,T1,0.129,
January,2017,TP,T2,9.573,
January,2017,TP,T3,0.005,
January,2017,TP,C1,0,
January,2017,TP,C2,0,
January,2017,TP,C3,0,
January,2017,WT1,T3,18.248,
January,2017,WT1,U2,5.811,
January,2017,WT1,U3,5.568,
January,2017,WT1,T1,0,
January,2017,WT1,T2,0,
January,2017,WT1,U1,0.255,
January,2017,WT1,C1,0,
January,2017,WT1,C2,0,
January,2017,WT1,C3,0,
January,2017,WT2,T1,4.997,
January,2017,WT2,U1,3.622,
