Date,Plot,Replicate,Species,Count
1/9/19,J,U3,PLLA,1
1/9/19,H,C2,CRAQ,5
1/9/19,H,C1,CRAQ,1
1/9/19,S,C2,SPSP,6
1/9/19,S,C3,SPSP,1
1/9/19,J,C1,SPSP,1
1/9/19,J,C1,CRAQ,2
1/9/19,L,C1,FEPE,3
1/9/19,L,C1,JUBU,1
1/9/19,L,C3,FEPE,1
1/9/19,J,T1,LYHY,15
1/9/19,J,T1,JUBU,17
1/9/19,J,T2,FEPE,2
1/9/19,J,T2,LYHY,12
1/9/19,J,T2,JUBU,14
1/9/19,J,T3,LYHY,12
1/9/19,J,T3,JUBU,17
1/9/19,J,T3,FEPE,1
1/9/19,H,U1,FEPE,3
1/9/19,H,U1,JUBU,17
1/9/19,H,U1,LYAR,1
1/9/19,H,U2,FEPE,1
1/9/19,H,U2,LYAR,5
1/9/19,H,U3,JUBU,4
1/9/19,H,C1,LYHY,4
1/9/19,H,C1,JUBU,1
1/9/19,H,C2,PFEPE,2
1/9/19,H,C1,LYHY,1
1/9/19,H,C3,LYHY,2
1/9/19,H,T1,FEPE,3
2/12/19,S,C1,CRAQ,1
2/12/19,J,C2,CETE,1
2/12/19,J,C2,CRAQ,1
2/12/19,H,T3,CETE,1
2/12/19,J,C3,LYHY,1
2/12/19,S,T2,LYHY,1
2/12/19,S,T2,CRAQ,1
2/12/19,L,T1,CETE,1
2/12/19,L,C3,CETE,4
2/12/19,S,T1,JUBU,1
1/9/19,J,U3,JUBU,1
1/9/19,L,U1,JUBU,3
1/9/19,L,U1,LYAR,4
1/9/19,L,U1,LYAR,4
1/9/19,L,U2,LYAR,4
1/9/19,S,T1,LYHY,12
1/9/19,L,U2,JUBU,3
1/9/19,L,U3,LYAR,2
1/9/19,S,T1,JUBU,19
1/9/19,S,T1,FEPE,1
1/9/19,S,T2,LYHY,23
1/9/19,S,T2,JUBU,13
1/9/19,S,T2,FEPE,1
1/9/19,S,T3,LYHY,18
1/9/19,S,T3,LYAR,2
1/9/19,S,T3,JUBU,15
1/9/19,S,T3,FEPE,1
1/9/19,S,T2,CRAQ,1
1/9/19,S,T3,CRAQ,1
1/9/19,L,T1,LYHY,7
1/9/19,L,T1,CRAQ,1
1/9/19,L,T1,JUBU,6
1/9/19,L,T2,JUBU,8
1/9/19,L,T2,LYHY,10
1/9/19,L,T3,FEPE,4
1/9/19,H,T1,LYHY,3
1/9/19,H,T1,LYAR,1
1/9/19,H,T1,JUBU,3
1/9/19,H,T2,LYHY,7
1/9/19,H,T2,JUBU,3
1/9/19,H,T2,FEPE,1
1/9/19,H,T3,FEPE,3
1/9/19,H,T3,LYHY,2
1/9/19,H,T3,JUBU,1
1/9/19,J,C1,LYHY,6
1/9/19,J,C1,FEPE,1
1/9/19,J,C1,JUBU,2
1/9/19,J,C2,LYHY,5
1/9/19,J,C2,JUBU,3
1/9/19,J,C3,FEPE,2
1/9/19,J,C1,CRAQ,8
1/9/19,J,C2,CRAQ,1
1/9/19,J,C2,SPSP,1
1/9/19,J,C2,JUBU,1
1/9/19,J,C3,JUBU,2
1/9/19,J,C3,CRAQ,4
1/9/19,J,C3,LYHY,9
1/9/19,J,C3,DEFA,1
1/9/19,J,U1,JUBU,10
1/9/19,J,U1,LYAR,2
1/9/19,J,U2,FEPE,1
1/9/19,J,U2,JUBU,8
1/9/19,J,U2,LYAR,3
1/9/19,H,U3,LYHY,5
1/9/19,H,U2,LYHY,1
1/9/19,H,U1,LYHY,1
1/9/19,L,C3,LYHY,4
1/9/19,L,C2,LYHY,10
1/9/19,L,C1,LYHY,4
1/9/19,S,C2,LYHY,21
1/9/19,S,C3,LYHY,2
1/9/19,S,C1,LYHY,7
1/9/19,S,C1,LYAR,1
1/9/19,S,C1,JUBU,12
1/9/19,S,C1,CRAQ,4
1/9/19,S,C1,FEPE,2
1/9/19,S,C2,FEPE,2
1/9/19,S,C2,JUBU,13
1/9/19,S,C3,JUBU,11
1/9/19,S,C2,ERBO,1
1/9/19,S,U1,FEPE,1
1/9/19,S,U1,JUBU,3
1/9/19,S,U2,FEPE,2
1/9/19,S,U2,JUBU,25
1/9/19,S,U2,LYAR,6
