Date,Plot,Replicate,Species,Count
1/9/19,CS,U3,EXCA,1
1/9/19,CS,U1,EXCA,1
1/9/19,WT2,T3,SOOL,1
1/9/19,RT,U0,SPSP,14
1/9/19,RT,T0,SPSP,3
1/9/19,RT,U1,SPSP,2
1/9/19,WT2,C3,SPSP,2
1/9/19,WT2,C2,SPSP,1
1/9/19,PH1,U1,SPSP,1
1/9/19,WT1,T0,SPSP,4
1/9/19,WT1,U0,SPSP,1
1/9/19,PH1,T3,SPSP,5
1/9/19,WT1,U2,EPBR,2
1/9/19,WT1,U2,SPSP,3
1/9/19,WT1,U1,SPSP,1
1/9/19,WT2,U3,SPSP,8
1/9/19,WT2,U3,JUBU,1
1/9/19,WT2,U2,SPSP,8
1/9/19,WT2,T3,SPSP,3
1/9/19,RT,C3,SPSP,1
1/9/19,RT,T1,JUBU,62
1/9/19,RT,T1,SPSP,22
1/9/19,RT,T2,JUBU,61
1/9/19,CS,T3,SYSU,3
1/9/19,CS,T2,JUBU,1
1/9/19,CS,T2,SYSU,1
1/9/19,CS,T1,EPBR,4
1/9/19,CS,T1,JUBU,1
1/9/19,CS,C1,CRAQ,18
1/9/19,CS,C2,CRAQ,1
1/9/19,WT2,T1,SPSP,2
1/9/19,WT2,T2,SPSP,4
1/9/19,WT1,T1,JUBU,126
1/9/19,WT1,T2,JUBU,92
1/9/19,WT1,T2,SPSP,4
1/9/19,WT1,T3,JUBU,98
1/9/19,MS,T1,JUBU,37
1/9/19,MS,T1,SYSU,3
1/9/19,MS,T2,SYSU,2
1/9/19,MS,T2,LYHY,2
1/9/19,MS,T3,JUBU,190
1/9/19,MS,T3,LYHY,4
1/9/19,MS,C1,SYSU,5
1/9/19,MS,C2,SYSU,3
1/9/19,MS,C3,SYSU,4
1/9/19,CS,C1,JUBU,5
1/9/19,CS,C2,SYSU,4
1/9/19,CS,T1,SYSU,4
1/9/19,CS,T1,JUBU,11
1/9/19,CS,T3,JUBU,9
1/9/19,TP,T0,JUBU,27
1/9/19,TP,U0,FEPE,4
1/9/19,TP,U0,LYHY,3
1/9/19,TP,T1,JUBU,13
1/9/19,TP,T2,JUBU,165
1/9/19,TP,T3,JUBU,145
1/9/19,RT,C1,LOGA,2
1/9/19,RT,T1,JUBU,61
1/9/19,WT2,U1,JUBU,3
1/9/19,WT2,U3,DEFA,2
1/9/19,WT2,T1,JUBU,535
1/9/19,WT2,T2,JUBU,2
1/9/19,WT2,T3,JUBU,15
1/9/19,WT2,T2,DEFA,1
1/9/19,MS,T3,DEFA,1
1/9/19,WT1,U1,DEFA,1
1/9/19,WT1,U1,JUBU,1
1/9/19,WT1,U2,DEFA,1
1/9/19,WT1,U3,JUBU,1
1/9/19,WT1,T1,DEFA,1
1/9/19,WT1,T2,SYSU,1
1/9/19,WT1,T3,SYSU,1
1/9/19,PH1,U0,JUBU,6
1/9/19,PH1,T1,JUBU,57
1/9/19,PH1,T1,SYSU,1
1/9/19,PH1,T1,LYHY,3
1/9/19,PH1,T2,JUBU,4
1/9/19,PH1,T3,JUBU,25
1/9/19,PH1,C2,FEPE,1
1/9/19,PH1,T3,FEPE,1
1/9/19,PH1,T3,SYSU,2
1/9/19,PH1,C2,SYSU,5
1/9/19,PH1,C2,JUBU,1
1/9/19,PH1,C3,SYSU,1
1/9/19,PH1,U1,JUBU,4
1/9/19,PH1,U1,SYSU,1
1/9/19,PH1,U2,JUBU,2
1/9/19,PH1,U3,LYHY,4
1/9/19,PH1,U3,JUBU,1
1/9/19,WT1,C1,JUBU,1
1/9/19,WT1,C3,JUBU,1
1/9/19,WT2,T0,JUBU,1
1/9/19,RT,U3,BRDI,1
1/9/19,RT,U2,JUBU,1
1/9/19,WT2,C2,LOGA,1
1/9/19,WT2,C2,SYSU,1
1/9/19,TP,C3,LOGA,1
1/9/19,TP,U1,FEPE,2
1/9/19,TP,U3,JUBU,35
1/9/19,CS,T0,JUBU,17
1/9/19,CS,U0,SYSU,1
1/9/19,CS,U2,SYSU,1
1/9/19,CS,U3,SYSU,1
1/9/19,MS,U1,FEPE,2
1/9/19,MS,U1,JUBU,1
1/9/19,MS,U2,SYSU,5
1/9/19,MS,U3,SYSU,20
1/9/19,MS,T0,SYSU,21
1/9/19,MS,T0,LYHY,10
1/9/19,MS,T0,JUBU,2
1/9/19,MS,U0,LYHY,2
2/12/19,RT,C2,SPSP,1
2/12/19,RT,C3,SPSP,1
2/12/19,WT2,T3,SPSP,1
2/12/19,PH1,T3,SPSP,1
2/12/19,RT,U0,SPSP,4
1/9/19,MS,U3,EPBR,3
1/9/19,CS,U0,SPSP,8
1/9/19,MS,T0,SPSP,4
1/9/19,CS,U2,SPSP,5
1/9/19,CS,U2,EPBR,1
1/9/19,TP,U2,SPSP,1
1/9/19,TP,U2,FEPE,1
1/9/19,TP,U2,SOAS,1
1/9/19,CS,T2,HEEC,1
1/9/19,RT,T3,POMO,15
1/9/19,RT,T3,JUBU,212
1/9/19,TP,T0,LUMI,2
1/9/19,RT,T3,ERBO,1
1/9/19,TP,T2,ERBO,1
1/9/19,TP,T2,EPBR,1
1/9/19,TP,T2,POMO,3
1/9/19,TP,T2,SPSP,14
1/9/19,CS,C3,SYSU,6
1/9/19,CS,C3,POMO,1
1/9/19,PH1,U0,LYHY,7
1/15/19,RT,U1,POMO,1
1/15/19,MS,U2,ERBO,1
1/15/19,CS,T2,ERBO,1
1/15/19,TP,T3,LOGA,1
