Month,Year,Plot,Replicate,Species,percent_cover,abundance
DECEMBER,2016,PH1,T1,MALA,1,9
DECEMBER,2016,PH1,T1,SYSU,1,7
DECEMBER,2016,PH1,T1,FRSA,1,9
DECEMBER,2016,PH1,T1,BARE,11,18
DECEMBER,2016,PH1,T1,THATCH,86,90
DECEMBER,2016,PH1,U1,MALA,1,10
DECEMBER,2016,PH1,U1,STPU,85,95
DECEMBER,2016,PH1,U1,GEDI,1,9
DECEMBER,2016,PH1,U1,MEPO,1,17
DECEMBER,2016,PH1,U1,ERCO,2,2
DECEMBER,2016,PH1,U1,SIBE,2,7
DECEMBER,2016,PH1,U1,BARE,3,10
DECEMBER,2016,PH1,U1,THATCH,10,10
DECEMBER,2016,PH1,U1,UNK GRASS,25,100
DECEMBER,2016,PH1,C1,ELMA,100,100
DECEMBER,2016,PH1,C1,GEDI,1,3
DECEMBER,2016,PH1,C1,SOOL,1,1
DECEMBER,2016,PH1,C1,MALA,2,8
DECEMBER,2016,PH1,C1,THATCH,45,45
DECEMBER,2016,PH1,T2,GEDI,1,23
DECEMBER,2016,PH1,T2,JUPA,40,40
DECEMBER,2016,PH1,T2,MALA,1,3
DECEMBER,2016,PH1,T2,MEPO,1,3
DECEMBER,2016,PH1,T2,BARE,3,10
DECEMBER,2016,PH1,T2,THATCH,15,15
DECEMBER,2016,PH1,T2,ERVA,30,65
DECEMBER,2016,PH1,T2,POMA,1,1
DECEMBER,2016,PH1,T2,SYSU,1,2
DECEMBER,2016,PH1,T2,ZEMU,1,3
DECEMBER,2016,PH1,T2,JUBU,1,2
DECEMBER,2016,PH1,U2,GEDI,1,5
DECEMBER,2016,PH1,U2,SIBE,35,70
DECEMBER,2016,PH1,U2,MALA,2,2
DECEMBER,2016,PH1,U2,HOBRBR,10,15
DECEMBER,2016,PH1,U2,EXCA,15,20
DECEMBER,2016,PH1,U2,STPU,10,12
DECEMBER,2016,PH1,U2,THATCH,15,15
DECEMBER,2016,PH1,U2,BARE,2,2
