replicate_date,plot,replicate_zone,month_year,nms1,nms2,nms3
1-1-2016-12-01,1,1,2016_12,0.35443,-0.86361,-0.08045
1-2-2016-12-01,1,2,2016_12,0.43599,-0.83008,0.12287
1-3-2016-12-01,1,3,2016_12,1.34549,0.24239,-0.15158
14-1-2016-12-01,14,1,2016_12,-0.06129,-0.48778,-0.29834
14-2-2016-12-01,14,2,2016_12,0.29632,-0.26528,0.76108
14-3-2016-12-01,14,3,2016_12,0.46158,0.56008,-0.47494
16-1-2016-12-01,16,1,2016_12,-0.67923,-0.09148,-0.23165
16-2-2016-12-01,16,2,2016_12,0.01464,0.5245,0.31275
16-3-2016-12-01,16,3,2016_12,0.33503,0.72218,-0.12419
19-1-2016-12-01,19,1,2016_12,-0.17202,-0.31894,-0.20776
19-2-2016-12-01,19,2,2016_12,-0.26767,0.49426,0.448
19-3-2016-12-01,19,3,2016_12,-0.10787,0.63116,-0.47353
1-1-2017-01-01,1,1,2017_1,-1.76458,0.34208,0.01075
1-2-2017-01-01,1,2,2017_1,-1.76453,0.34569,0.02148
1-3-2017-01-01,1,3,2017_1,0.54616,0.64689,0.19395
14-1-2017-01-01,14,1,2017_1,-1.76481,0.3433,0.01978
14-2-2017-01-01,14,2,2017_1,-1.12018,0.29694,0.02039
14-3-2017-01-01,14,3,2017_1,-0.61401,0.56771,-0.22929
16-1-2017-01-01,16,1,2017_1,-1.7636,0.35358,0.02204
16-2-2017-01-01,16,2,2017_1,-1.76338,0.35151,0.00894
16-3-2017-01-01,16,3,2017_1,-0.34209,0.58744,-0.01846
19-2-2017-01-01,19,2,2017_1,-1.23537,0.31322,0.33629
19-3-2017-01-01,19,3,2017_1,-0.05464,0.64878,-0.47321
4-1-2017-01-01,4,1,2017_1,-1.76523,0.34029,0.02158
4-2-2017-01-01,4,2,2017_1,-0.62755,0.4074,-0.0116
4-3-2017-01-01,4,3,2017_1,0.58788,0.46368,-0.17814
7-1-2017-01-01,7,1,2017_1,-1.76381,0.35241,0.02361
7-2-2017-01-01,7,2,2017_1,-1.32459,0.35661,0.06555
7-3-2017-01-01,7,3,2017_1,0.43602,0.58687,-0.46718
9-1-2017-01-01,9,1,2017_1,-1.76421,0.34812,0.02008
9-2-2017-01-01,9,2,2017_1,-1.76433,0.34496,0.01169
9-3-2017-01-01,9,3,2017_1,0.04994,0.66327,-0.49609
1-1-2017-02-01,1,1,2017_2,-1.76472,0.34241,0.01071
1-2-2017-02-01,1,2,2017_2,-1.07935,-0.24733,0.05098
1-3-2017-02-01,1,3,2017_2,0.5908,0.4621,-0.28049
14-1-2017-02-01,14,1,2017_2,-1.76336,0.35404,0.01739
14-2-2017-02-01,14,2,2017_2,-0.97596,0.27027,0.15468
14-3-2017-02-01,14,3,2017_2,-0.14229,0.64459,-0.34418
16-1-2017-02-01,16,1,2017_2,-1.76409,0.35046,0.02435
16-2-2017-02-01,16,2,2017_2,-0.91514,0.44313,0.24244
16-3-2017-02-01,16,3,2017_2,0.66735,0.3509,-0.22045
19-1-2017-02-01,19,1,2017_2,-1.76329,0.35513,0.01843
19-2-2017-02-01,19,2,2017_2,-1.48658,0.19709,0.26049
19-3-2017-02-01,19,3,2017_2,-0.08558,0.65324,-0.47571
4-1-2017-02-01,4,1,2017_2,-1.7646,0.34198,0.00985
4-2-2017-02-01,4,2,2017_2,-0.70708,0.46552,-0.07878
4-3-2017-02-01,4,3,2017_2,0.32708,0.53787,-0.1755
7-1-2017-02-01,7,1,2017_2,-1.76403,0.35032,0.02286
7-2-2017-02-01,7,2,2017_2,-1.76292,0.35739,0.01517
7-3-2017-02-01,7,3,2017_2,0.50974,0.57846,-0.46573
9-2-2017-02-01,9,2,2017_2,-1.76354,0.35162,0.01343
9-3-2017-02-01,9,3,2017_2,-0.5337,0.59817,-0.23232
1-1-2017-03-01,1,1,2017_3,-1.76357,0.35454,0.0227
1-2-2017-03-01,1,2,2017_3,-0.62395,-0.60644,0.00237
1-3-2017-03-01,1,3,2017_3,1.13258,0.00604,-0.07405
14-1-2017-03-01,14,1,2017_3,-1.76416,0.34623,0.011
14-2-2017-03-01,14,2,2017_3,-0.53038,0.41572,0.08829
14-3-2017-03-01,14,3,2017_3,0.10165,0.63087,-0.39414
16-1-2017-03-01,16,1,2017_3,-1.76498,0.3424,0.02361
16-2-2017-03-01,16,2,2017_3,-0.72369,0.01237,0.35835
16-3-2017-03-01,16,3,2017_3,0.67527,0.34109,-0.19579
19-1-2017-03-01,19,1,2017_3,-1.76372,0.35185,0.01879
19-2-2017-03-01,19,2,2017_3,-0.86741,0.34901,0.25529
19-3-2017-03-01,19,3,2017_3,-0.04842,0.69841,-0.39127
4-1-2017-03-01,4,1,2017_3,-1.76509,0.34126,0.02309
4-2-2017-03-01,4,2,2017_3,-0.4867,0.29492,0.30436
4-3-2017-03-01,4,3,2017_3,0.5144,0.57553,-0.14596
7-1-2017-03-01,7,1,2017_3,-1.76381,0.34937,0.01401
7-2-2017-03-01,7,2,2017_3,-0.7963,0.40846,0.05938
7-3-2017-03-01,7,3,2017_3,0.69446,0.50625,-0.59546
9-1-2017-03-01,9,1,2017_3,-1.76438,0.34443,0.01039
9-2-2017-03-01,9,2,2017_3,-0.72034,0.46604,-0.17706
